City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Sibu,MY,2.3,111.8167,75.51,100,40,3.44,light rain
322,Pitimbu,BR,-7.4706,-34.8086,77.59,82,15,10.94,few clouds
323,Hovd,MN,48.0056,91.6419,18.73,37,90,5.61,overcast clouds
324,Lavrentiya,RU,65.5833,-171.0,34.84,98,100,23.87,light snow
325,Beloha,MG,-25.1667,45.05,68.31,86,0,3.15,clear sky
326,Gamba,GA,-2.65,10.0,73.92,91,99,3.65,overcast clouds
327,Abu Dhabi,AE,24.4667,54.3667,77.02,81,0,1.14,clear sky
328,Varel,DE,53.3969,8.1362,41.09,92,100,17.9,overcast clouds
329,Skjervoy,NO,70.0311,20.9714,30.2,43,57,7.92,broken clouds
330,Penzance,GB,50.1186,-5.5371,55.76,77,13,28.5,few clouds
331,Bud,US,39.447,-86.1758,33.85,73,57,9.19,broken clouds
332,Guanica,PR,17.9716,-66.908,81.05,77,9,7.43,clear sky
333,Tautira,PF,-17.7333,-149.15,76.77,83,64,8.43,broken clouds
334,Huescar,ES,37.811,-2.5412,59.13,84,100,14.81,overcast clouds
335,Nekhayevskiy,RU,50.4106,41.7561,38.44,98,100,1.05,light rain
336,Olga,RU,43.7444,135.2892,35.35,76,98,3.24,overcast clouds
337,Tromso,NO,69.6496,18.957,32.38,93,0,2.3,clear sky
338,Pilibhit,IN,28.6333,79.8,57.97,73,0,2.66,clear sky
339,Rio Bueno,CL,-40.3167,-72.9667,64.54,68,100,4.72,overcast clouds
340,Graaff-Reinet,ZA,-32.2522,24.5308,58.93,80,100,1.95,overcast clouds
341,Wellington,NZ,-41.2866,174.7756,67.91,82,40,13.8,scattered clouds
342,Bagdarin,RU,54.4333,113.6,17.31,83,100,1.3,overcast clouds
343,Tripoli,LY,32.8752,13.1875,69.12,53,4,8.1,clear sky
344,Tamazunchale,MX,21.2667,-98.7833,57.07,87,100,0.49,overcast clouds
345,Turayf,SA,31.6725,38.6637,50.25,87,0,0.0,clear sky
346,Vila Velha,BR,-20.3297,-40.2925,73.35,80,0,13.8,clear sky
